City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
553,Manzanillo,CU,20.3433,-77.1167,80.2,61,60,1.23,broken clouds
554,Cockburn Town,TC,21.4612,-71.1419,78.51,77,7,21.77,light rain
555,Jacmel,HT,18.2342,-72.5347,84.04,76,39,5.79,light rain
556,Verkhnevilyuysk,RU,63.4453,120.3167,-53.66,100,73,0.89,broken clouds
557,Lieksa,FI,63.3167,30.0167,1.53,98,14,5.64,few clouds
558,Carauari,BR,-4.8828,-66.8958,76.82,86,64,1.45,broken clouds
559,Ladario,BR,-19.0047,-57.6017,77.32,60,24,2.93,few clouds
560,Albanel,CA,48.8832,-72.4487,12.34,85,100,6.91,snow
561,Seoul,KR,37.5683,126.9778,22.44,89,20,3.44,mist
562,Pangoa,PE,-12.1167,-73.0,65.52,99,100,1.7,light rain
563,Nurota,UZ,40.5614,65.6886,47.08,39,100,13.2,overcast clouds
564,Komsomolskiy,UZ,40.4272,71.7189,30.92,93,100,2.3,fog
565,Glenwood Springs,US,39.5505,-107.3248,37.06,58,64,1.99,broken clouds
566,Kongoussi,BF,13.3258,-1.5347,73.33,24,41,7.49,scattered clouds
567,Olinda,BR,-8.0089,-34.8553,80.33,74,20,5.75,few clouds
568,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,66,100,2.3,overcast clouds
569,Sumbe,AO,-11.2061,13.8437,77.58,87,100,4.32,light rain
570,Luganville,VU,-15.5333,167.1667,77.32,96,100,4.63,overcast clouds
571,Sisimiut,GL,66.9395,-53.6735,11.12,65,71,9.35,broken clouds
572,Vlore,AL,40.4667,19.4897,52.97,79,12,4.45,few clouds
573,Husavik,IS,66.0449,-17.3389,22.19,88,100,10.51,overcast clouds
574,Makokou,GA,0.5738,12.8642,69.3,95,88,3.04,overcast clouds
575,Batagay-Alyta,RU,67.8006,130.4114,-29.02,99,100,2.66,overcast clouds
576,Iqaluit,CA,63.7506,-68.5145,-13.27,75,75,19.57,light snow
577,Comodoro Rivadavia,AR,-45.8667,-67.5,91.26,19,0,6.91,clear sky
578,San Ramon,US,37.7799,-121.978,54.57,91,100,10.36,mist
579,Ngunguru,NZ,-35.6167,174.5,67.39,97,100,16.98,light rain
580,Mulchen,CL,-37.7167,-72.2333,75.06,31,16,6.6,few clouds
581,Balabac,PH,7.9868,117.0645,81.09,85,98,12.84,overcast clouds
582,Dapaong,TG,10.8639,0.205,76.86,25,84,6.24,broken clouds
583,Sokoni,TZ,-6.4333,39.55,81.28,77,99,12.01,light rain
584,Seydi,TM,39.4816,62.9137,47.53,56,100,11.63,overcast clouds
585,Seddon,AU,-37.8068,144.8916,69.57,60,20,8.99,few clouds
586,Nevelsk,RU,46.6733,141.8633,23.7,72,91,13.98,overcast clouds
587,Klyuchi,RU,52.2667,79.1667,31.37,99,100,6.17,snow
588,Oum Hadjer,TD,13.2954,19.6966,68.02,25,30,11.05,scattered clouds
589,Yumen,CN,40.2833,97.2,25.95,26,1,3.49,clear sky
590,Otradnyy,RU,53.376,51.3452,25.43,96,100,12.57,light snow
591,Polovinnoye,RU,54.7914,65.9864,2.97,96,100,2.51,overcast clouds
592,Seryshevo,RU,51.0933,128.3786,-31.38,100,49,1.12,scattered clouds
593,Samarai,PG,-10.6167,150.6667,83.39,74,93,12.53,overcast clouds
594,Dubti,ET,11.7361,41.0853,73.42,66,1,9.06,clear sky
595,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,75,9.22,light rain
596,Alabaster,US,33.2443,-86.8164,59.18,40,0,12.66,clear sky
597,Goure,NE,13.9835,10.2704,63.32,23,93,10.89,overcast clouds
598,Lingao,CN,19.9103,109.6859,64.18,77,100,8.48,overcast clouds
599,Tome,CL,-36.6167,-72.95,65.01,84,28,5.64,scattered clouds
600,Nishihara,JP,26.1842,127.7558,64.45,57,75,8.05,broken clouds
601,Miguel Alves,BR,-4.1656,-42.8953,81.48,63,63,5.64,broken clouds
602,Ampanihy,MG,-24.7,44.75,72.59,84,97,12.08,overcast clouds
