City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Biltine,TD,62.74,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
577,Celestun,MX,75.51,few clouds,20.8667,-90.4,Hotel Flamingo Playa
579,Shenjiamen,CN,50.41,clear sky,29.9576,122.298,Zhonghan Hotel
580,Kupang,ID,84.78,scattered clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
583,Manzhouli,CN,-16.13,few clouds,49.6,117.4333,Пышка
584,Vila,PT,44.71,overcast clouds,42.0304,-8.1588,Hotel Miracastro
587,Ariquemes,BR,71.8,overcast clouds,-9.9133,-63.0408,Aquarius
590,Kota,IN,46.35,clear sky,25.1833,75.8333,Hotel Navrang
591,Nouadhibou,MR,67.6,clear sky,20.931,-17.0347,Hotel valencia
592,Tilichiki,RU,-14.62,overcast clouds,60.4667,166.1,Тиличики
593,Havelock,US,51.93,clear sky,34.8791,-76.9013,Quality Inn Havelock Hwy 70
594,Tolga,DZ,52.05,clear sky,34.7222,5.3785,فندق - دار الضياف ( في طريق الانجاز)
595,Elat,IL,55.24,haze,29.5581,34.9482,Melony Club
596,Great Bend,US,42.04,clear sky,38.3645,-98.7648,Best Western
598,Khandyga,RU,-35.45,overcast clouds,62.6667,135.6,Апельсин
601,North Bend,US,59.92,overcast clouds,43.4065,-124.2243,The Mill Casino Hotel
605,Portland,US,51.49,overcast clouds,45.5234,-122.6762,the Hoxton
606,Saint-Denis,FR,52.57,overcast clouds,48.9167,2.3333,Hôtel de France
607,Jawhar,SO,72.91,clear sky,2.7809,45.5005,Hotel Subiye
608,Aldan,RU,-7.38,overcast clouds,58.6031,125.3894,гостинница Велком Плаза
611,Itarema,BR,79.79,light rain,-2.9248,-39.9167,Pousada Oásis
612,Seoul,KR,36.79,overcast clouds,37.5683,126.9778,뉴국제호텔
615,Calabozo,VE,82.38,broken clouds,8.9242,-67.4293,Hotel Plaza Real
616,Caraballeda,VE,78.87,scattered clouds,10.6112,-66.8522,Hotel Belmar
617,Sakakah,SA,48.15,clear sky,29.9697,40.2064,sakakah residence
618,Neuquen,AR,89.49,clear sky,-38.9516,-68.0591,Hotel Argentina 307
619,Mount Isa,AU,91.17,overcast clouds,-20.7333,139.5,Ibis Styles
620,Salym,RU,-14.04,overcast clouds,60.0625,71.4789,Каравани
621,Darlowo,PL,41.59,overcast clouds,54.421,16.4107,Ośrodek Wczasowy Kama
623,Ahipara,NZ,72.54,overcast clouds,-35.1667,173.1667,YHA Ahipara
624,Chernyshevsk,RU,-22.83,broken clouds,52.5243,117.0174,Карина
627,Cooma,AU,69.24,clear sky,-36.2333,149.1333,Royal Hotel
628,Moche,PE,62.78,mist,-8.1711,-79.0092,Hotel Golf y Country Club
629,Kaoma,ZM,64.62,moderate rain,-14.7833,24.8,Pumulo Pardway Lodge
630,Ballina,AU,80.02,scattered clouds,-28.8667,153.5667,Ballina Beach Resort
632,Devarkonda,IN,64.2,clear sky,16.7,78.9333,udipi hotel
635,Tomari,RU,16.93,overcast clouds,47.7658,142.0683,Восточная
636,Eau Claire,US,14.38,clear sky,44.8114,-91.4985,The Lismore Hotel Eau Claire - a DoubleTree by Hilton Hotel
